comment,compound,positive,negative,neutral,label
Seperti kembali ke masa kegelapan lagi ini ubah lah konsepnya cara melatih pemain nya agar lbh terkonsep,-0.9325,0.0,0.519,0.481,negative
Kembali ke setelan awal,0.4588,0.5,0.0,0.5,positive
Banyak pemain titipan yang harus dimainkan,-0.9325,0.182,0.727,0.091,negative
Alhamdulillah akhirnya mainnya kembali ke era kegelapan,0.7906,0.5,0.0,0.5,positive
Indra xavri kembali menjukan kelas nya sebagai pelatih terbaik tarkam,0.4588,0.417,0.333,0.25,positive
Sediih banget lihat Timnas hiks2 kok bisa bisanya permainannya kembali ke zaman batu,0.8402,0.474,0.0,0.526,positive
Kebanggan towel telqh kembali,0.0,0.0,0.0,1.0,neutral
Era kegelapan muncul lagi,-0.4588,0.25,0.5,0.25,negative
Era kegelapan mulai bangkit lagi,0.0,0.455,0.364,0.182,neutral
shin tae yong tertawa melihat ini,0.7184,0.556,0.278,0.167,positive
Tetap smangat timnas garuda telah berjuang skuat tenanga dn kmampuan Blum bruntung untuk lolos,-0.25,0.19,0.238,0.571,negative
Erik Tohir senyum melihat ini,0.4588,0.538,0.308,0.154,positive
Tenang taktik indra xavi masih disimpan,0.7906,0.545,0.0,0.455,positive
Jing iklan nya ngalangin,0.0,0.0,0.0,1.0,neutral
Andai tidak kebobolan di awal Lolos kita,-0.7906,0.3,0.55,0.15,negative
Kualitas indonesia saat ini Setara timor leste ternyata,0.8402,0.571,0.0,0.429,positive
Timnas Paling Ampas ini mah,-0.6124,0.0,0.5,0.5,negative
Wow bagus emas lah dapat,0.8689,0.831,0.0,0.169,positive
Jaman STY U23 hampir masuk Olympiadeskrng lolos SEA GAMES level ASEAN tidak lolosTowel seneng ini,-0.9186,0.176,0.529,0.294,negative
Pak ketua PSSI anda hebat sekali lanjutkan terima kasih sudah buat ketawa,0.9001,0.633,0.233,0.133,positive
hasil dari training 1 bulan dan uji coba terkhusus untuk kamu 22 dengan skema umpan lambung dan berujung asam lambung,0.25,0.395,0.342,0.263,positive
Kembali ke stelan pabrik,0.0,0.0,0.0,1.0,neutral
mantap indonesia,0.7906,0.857,0.0,0.143,positive
Raven naluri gol nya bagus,0.7906,0.7,0.0,0.3,positive
Terima kasih atas perjuangan kalian Kegagalan bukanlah hal baru bagi tim ini Ini adalah Tradisi dan Kalian Sukses Mempertahankannya Selamat Beristirahat Lebih Cepat agar dapat memulihkan stamina dan kondisi kalian Kalian hanyalan Prajurit di Lapangan Kekalahan dan Kemenangan adalah tanggung jawab Panglima Perang bukan pada kalian Terima kasih untuk Raven Jenner Doni Tri yang sedikit memberi muka pada tim ini,0.7906,0.426,0.348,0.227,positive
Kocak kiper nya kaya main tarkam megang bola juga,0.4588,0.4,0.2,0.4,positive
Syukurlah menang prediksiku akan imbang,0.8402,0.727,0.0,0.273,positive
Towel jackpot lagi wd,-0.0772,0.381,0.412,0.206,negative
Arya Sinulingga cs tersenyum melihat ini cair cairrr,0.8402,0.562,0.125,0.312,positive
Permainan seperti obak sodor,-0.25,0.0,0.4,0.6,negative
Raven selalu bagus,0.4588,0.6,0.0,0.4,positive
Untuk para Pemain tetap semangat untuk kedepannya lebih baik untuk federasi perlu direformasi,0.9682,0.735,0.118,0.147,positive
andai Raven masuk dari babak pertama bisa jadi lolos ke babak semifinal Tetap semangat timnas Indonesia ayo bangkit pastikan esok lebih baik dari hari ini,0.6124,0.486,0.386,0.129,positive
Jdi timnas muda ggal lolos ini,-0.8402,0.0,0.667,0.333,negative
Alhamdulillah Malaysia lolos ke final Insyaallah Thailand juara,0.8402,0.591,0.227,0.182,positive
Selamat untuk PSSI dan jajarannya,0.7906,0.6,0.0,0.4,positive
Kalian sadar tidak sih pas Indonesia sedang terpuruk towel ngak muncul pasti dia senang kali wel wel,0.4588,0.442,0.349,0.209,positive
Indra sapi setiap gol selalu sujud tapi jarang sholat,0.7906,0.5,0.2,0.3,positive
Gol pertama Myanmar itu penyakit pemain Lokal kita selalu fokus ke bola tidak lihat pergerakan lawan,-0.7184,0.35,0.45,0.2,negative
Kaka,0.0,0.0,0.0,1.0,neutral
Banyak banget istilah setelan pabrik nongol,0.4588,0.5,0.25,0.25,positive
Ga ada striker laen selain hoki apa,0.7184,0.529,0.235,0.235,positive
LUAR BIASAAAA hebat sekali kepelatihan pak kumis sangat membanggakan berkat strateginya timnas TIDAK LOLOS semifinal,-0.8877,0.197,0.475,0.328,negative
Taktik guru pendidikan jasmani,0.6124,0.571,0.0,0.429,positive
Untung ada jane raven,0.875,0.818,0.0,0.182,positive
Dari dulu masukkan timnas senior masukkan raven masukkan raven ini anak ambisius untuk jadi straiker predator,-0.9001,0.077,0.462,0.462,negative
Alhamdulillah masih ada Persib yang maennya lebih enak dtonton,0.9325,0.655,0.207,0.138,positive
Walaupun main pas-pasan Dan out Yg penting ngerasain juga makan rumput stadion yah pri,0.9325,0.625,0.0,0.375,positive
Inilah timnas yang sebenarnya,-0.25,0.385,0.462,0.154,negative
Skornya sama dengan tanggal ulang tahun ku Desember 13,-0.25,0.25,0.312,0.438,negative
Kok berasa permainannya kayaq main dikampung hampir semua yang dpat bola mau Suting semua,-0.8402,0.265,0.5,0.235,negative
Squad tim yang mengerikan jika di lihattapi menjadi lemah dengan strategi indra xavi,0.0,0.355,0.355,0.29,neutral
Aduh Semi final saja sudah tidak bisa,0.25,0.542,0.417,0.042,positive
INI LAH GAMBARAN DARI LOKAL PRET,-0.6124,0.0,0.444,0.556,negative
Era mafia kembali,-0.7906,0.0,0.75,0.25,negative
Andaikan sty yang ngelatih tapi hasil nya seperti ini Pasti yang ngehujat tuju hari tuju malam,0.0,0.4,0.4,0.2,neutral
sisapri kemarin Jen raven di cadangin bahkan maenin Arjuna pemain tarkam,-0.6124,0.0,0.286,0.714,negative
Layak tidak lolos karena tujuannya bukan mau lolos hanya main bola saja,-0.9682,0.277,0.681,0.043,negative
Yang masang iklan IQ nya 65,-0.7906,0.0,0.545,0.455,negative
Kembali ke mode awal Goal nya kalau tidak bola mati bola liar Ketemu tim yang mainnya taktis dan rapi habis kita,-0.743,0.351,0.435,0.214,negative
Selamat untuk timnas yang berhasil angkat koper,0.8402,0.609,0.261,0.13,positive
mantap,0.7906,1.0,0.0,0.0,positive
Kadek2 kepala atau apa tu,-0.6124,0.0,0.5,0.5,negative
Minim stategi harus nya jens reven starter bahkan di cadangin Liat pas masuk jens riven 2 goal di sumbangkan,-0.8402,0.206,0.412,0.382,negative
Raven semangatnya luar biasaandai dia main dari awal babak 2 kayaknya bisa lolos kita,-0.9584,0.176,0.647,0.176,negative
Nonton bola Nonton iklan,0.0,0.0,0.0,1.0,neutral
Dari pemilihan pemain berpengaruh pada mental dan karakter pemain,-0.9186,0.167,0.667,0.167,negative
Asli nonton persib terasa lebih greget semoga timnas makin bagus silahkan bung towel pilih pelatih yang bagus hehhehe,0.9001,0.55,0.225,0.225,positive
Timnas yang di inginkan bung towell,-0.7906,0.0,0.545,0.455,negative
Pelatihnya itu saja Kalau tidak indra safri nova bima sakti,-0.9432,0.0,0.714,0.286,negative
Kembali ke setelan awal,0.4588,0.5,0.0,0.5,positive
aduh main kaya ginibisa babak belur kalau lawan thailand atau vietnam,0.25,0.455,0.318,0.227,positive
Sebuah kemunduran,-0.7906,0.0,0.857,0.143,negative
Bener benar lucu sih,0.9001,0.917,0.0,0.083,positive
Kita lihat sejauh apa timnas tanpa ayah saya karma is real,-0.25,0.318,0.364,0.318,negative
Alhamdulillah indonesia menang semoga bisa juara bravo indra safri pelatih ini lebih bagus daripada sty atau petrik maju terus coach,0.9682,0.571,0.0,0.429,positive
Kembali ke setelah pabrik,0.0,0.0,0.0,1.0,neutral
INDONESIA kalah kalah kalah kalah kalah kalah kalah kalah kalah kalah kalah kalah kalah kalah kalah kalah kalah kalah NEGARA LAIN menang menang menang menang menang menang menang menang menang menang,-0.9945,0.338,0.648,0.014,negative
Kenapa Jens Raven tidak dimainkan sebagai starter dari awal waktu lawan Philipina Coach,-0.9001,0.185,0.519,0.296,negative
Hanya bisa ngandalin lempar ke dalam dan corner kick,0.0,0.267,0.267,0.467,neutral
Tenang strategi si Sapri masih di simpen buat sea games selanjut nya Karna sea games tahun ini hanya untuk uji coba,0.8402,0.394,0.121,0.485,positive
Didelok angel,0.0,0.0,0.0,1.0,neutral
Mainnya tarkam banget tertawa,0.8402,0.8,0.0,0.2,positive
ingin ketawa takut dosa,0.25,0.538,0.385,0.077,positive
Wellcome back era kegelapan,0.0,0.0,0.0,1.0,neutral
Masih harapin gol dari lempar lembing adu,-0.6124,0.25,0.5,0.25,negative
Ada yang nyender ini,-0.25,0.385,0.462,0.154,negative
Liga sudah libur Tc smpe 1 bulan Pke pemain abroad Cm ditarget perak Hasilnya Kalah 10 dari filipina Gagal lolos grub Yg katanya generasi emas dan punya tim kepelatihan terbaik,-0.9517,0.282,0.507,0.211,negative
Musuh terberat bukan orang luar negeri tapi orang dalam negeri,-0.7184,0.2,0.45,0.35,negative
Tohir Arya Bangga Melihat ini karena misi mereka sukses,0.8402,0.571,0.19,0.238,positive
Entah kenapa mauro ini penempatan posisi nya kurang dibanding raven Jadi mudah di marking lawan,0.0,0.333,0.296,0.37,neutral
Mantap Myanmar,0.7906,0.857,0.0,0.143,positive
Mvp hoky caraka,0.0,0.0,0.0,1.0,neutral
Mending nnton futsal kelas main nya tidak buat kita emosi timnas futsal indonesia juga salah satu yang di takuti di asia,-0.8402,0.327,0.429,0.245,negative
iklannya kurang gede,-0.25,0.375,0.5,0.125,negative
Kembali setelan pabrik,0.0,0.0,0.0,1.0,neutral
Towel bahagia,0.7184,0.833,0.0,0.167,positive
Harusnya raven di msinkan dari awal pertandungan sampai akhir,0.25,0.375,0.25,0.375,positive
Mainya enakan dilihat pas zaman STY,0.6124,0.444,0.0,0.556,positive
Harusnya komposisi pas lawan pilipina juga begini,0.6124,0.5,0.167,0.333,positive
Toel mana toel mana pengamat sudah pada mati apa kalean,0.25,0.391,0.348,0.261,positive
Info open fight dng pengurus pssi,-0.765,0.241,0.639,0.12,negative
Federasinya pak Erick mau dibawa kemana Ini bukan Timnas Indonesia Ini Federasinya pak Erick,0.4588,0.273,0.182,0.545,positive
Indonesia setara Filipina dong,0.4588,0.5,0.0,0.5,positive
ALHAMDULILLAH SKRNG INDONESIA LEBIH BAIK KE STELAN KEGELAPAN,0.9186,0.706,0.0,0.294,positive
Saking hebat ini pelatih Pemain haus gol di cadang kan Tpi aneh nx s hoki,0.9517,0.625,0.125,0.25,positive
Tanpa STY timnas kembali ke era kegelapan,0.0,0.0,0.0,1.0,neutral
Mulai dari penanganan bencana sampai sepakbola tidak ada yang beres negara ini,-0.9325,0.316,0.579,0.105,negative
Anjay sudah berapa dekade tidak lihat selebrasi paling ikonik dari pelatih kita Baginda raja yang mulia coach indra safrie mss msc pelatih terbaik SE Asia tenggara dan pelatih SE umur hidup bagi indonesia terima kasih pak Erik hancur ini timnas saya,0.9517,0.474,0.289,0.237,positive
Bingung mau komentar apa Padal uji coba lawan India yang peringkatnya di atas kita kita bisa ngimbangin ini yang tim selevel di ajang ini bahkan kalah semoga lekas membaik,-0.9818,0.225,0.549,0.225,negative
Memilukan sudah menang tetap gagal lolos karena myanmar cetak 1 goal,-0.25,0.419,0.452,0.129,negative
Keren,0.0,0.0,0.0,1.0,neutral
Lokal pri hehhe,0.0,0.0,0.0,1.0,neutral
Lagi lagi kesalahan beck yang tidak cepat ambil bola dan striker awal yang mandul,-0.9891,0.14,0.76,0.1,negative
Sekarang fokus dukung Persib di ACL 2 semoga Erik Tohir tidak ikut campur,0.25,0.429,0.4,0.171,positive
Dulu di era sty enak di tonton Dari di ganti pelatih di tengah jalan sumpah sudah tidak nonton lagi timnas Mafia banyak banget,0.6124,0.47,0.379,0.152,positive
mengapa Revan tidak dari awal mainnya,-0.8402,0.188,0.625,0.188,negative
Squad ini sebenernya bagus sih lini depannya sayang nya mainya tidak bisa rapi kayak kamu 17,0.7906,0.486,0.27,0.243,positive
Towel ndi toweeeel,0.0,0.0,0.0,1.0,neutral
permainan asli indonesia sayangnya baru muncul di menit 90an keatas,0.7184,0.5,0.0,0.5,positive
Sejak STY diganti Klupertt sudah malas lihat Timnas,0.4588,0.444,0.278,0.278,positive
Kalah di hujat menang tidak bersyukur Jen jen,-0.7906,0.355,0.548,0.097,negative
Menang tidak selalu menyenangkan wkwkwk Karena tetap saja tidak lolos,-0.8402,0.409,0.568,0.023,negative
Semoga PSSI mempertahankan Coach Indra Safrie jadi pelatih Timnas Sea Games 2027,0.7184,0.375,0.0,0.625,positive
Maaf Mau bertanya Klw tadi Kiper Blok pakai Tangan kiri kira2 bgus Gak,0.875,0.538,0.154,0.308,positive
Towel is bedes,0.0,0.0,0.0,1.0,neutral
306 presiden Sapri kita sebut saja nama ny El sujud,-0.6124,0.211,0.421,0.368,negative
Pecat indra Sjafri,-0.7906,0.0,0.75,0.25,negative
Ke bali ketstelan pabrik ygesya,0.0,0.0,0.0,1.0,neutral
Skuad ini akan bagus mainnya kalau dilatih oleh pelatih sekelas STY atau Timur Kapadze,0.7184,0.35,0.1,0.55,positive
Harus semua orang akui Jens Revan tu mengingatkan kita dengan C Gonzales finisingnya bagus lho dari dulu konsisten cetak goal bahkan cuma dia pemain dpn Timnas sekarang yang selalu cetak goal seharus pantas naik ke senior Koqmalah hoki dengan zilsta yang kesenior aneh ini titipan,-0.9799,0.22,0.462,0.319,negative
Hrsnya raven main dari awal bbk ke 2,0.25,0.429,0.286,0.286,positive
Pelatih sipaling sujud,0.6124,0.667,0.0,0.333,positive
Umpan panjang kedepan bolapemain lari tidak ada lagi bola dari kaki kekaki yang rapi,-0.9517,0.273,0.614,0.114,negative
Strategi terbaik menghindari Thailand Vietnam dan Filipina di semifinal adalah dengan cara tidak lolos ke semifinal Keren sih,-0.7184,0.188,0.344,0.469,negative
ini makin rapuh saja,-0.25,0.333,0.444,0.222,negative
Sesuai expextasi,0.6124,0.8,0.0,0.2,positive
Om syafri kayaknya sudah terlalu enak,0.4588,0.5,0.4,0.1,positive
Kenapa tidak kurniawan kasih kesempatan jadi pelatih u23,0.25,0.474,0.316,0.211,positive
Kembali ke setelan pabrik,0.0,0.0,0.0,1.0,neutral
Kembali ke stelan pabrik,0.0,0.0,0.0,1.0,neutral
Kembali ke setelan pabrik,0.0,0.0,0.0,1.0,neutral
Murni kesalahan coach ini dalam pemilihan pemain untuk sea games,-0.7906,0.19,0.476,0.333,negative
Kenapa tidak dari awal jens raven sama mauro iya,-0.6124,0.318,0.455,0.227,negative
Target pak tohir,0.0,0.0,0.0,1.0,neutral
Ganti semua kepelatihan di PSSI faktor pelatih yang Utama,-0.8402,0.296,0.556,0.148,negative
bahkan formasi nya pun tidak bisa diketahui formasi apa yang dipakai,-0.9325,0.242,0.606,0.152,negative
Sebernya kualitas pemain lokal Indonesia sama Tarkam itu tidak beda jauh kalau untuk skil Cuma beda kasta saja wkwkwk,-0.9682,0.241,0.63,0.13,negative
Ulah erik,-0.8402,0.0,1.0,0.0,negative
Kembali kesetelan pabrik,0.0,0.0,0.0,1.0,neutral
IS kurang bisa menilai kemampuan pemainkenapa lawan Philipina raven tidak dimainkanhokinya bagus siraven ini,-0.7906,0.303,0.455,0.242,negative
Lebih seru nonton liga 1 tarkam,0.8402,0.727,0.0,0.273,positive
Erick Thohir Toel Justin tidak ada kabar masih hidup tidak sih,-0.4588,0.379,0.414,0.207,negative
Info loker dong di PSSI,-0.6124,0.0,0.5,0.5,negative
GENERASI ERA TIMNAS AANNJINNNGGG,-0.6124,0.0,0.571,0.429,negative
FEDERASI DAN PEMERINTAH ISINYA MAFIA YA GINI JADINYA,0.4588,0.45,0.3,0.25,positive
meninggalkan victor dethan dan arkhan fikri adalah kesalahan fatal ivar tidak dapat tandem yang pas,-0.9799,0.159,0.659,0.182,negative
komentator sebut2 Malaysia,0.0,0.0,0.0,1.0,neutral
Untung kipernya namanya soe kalau namanya lucky myanmar bisa menang,0.5859,0.476,0.323,0.202,positive
Aku GK mau tahu Pokoknya pertahankan ETdan indra syapri Mereka telah mencatatkan sejarah,0.9186,0.571,0.143,0.286,positive
Baru kali ini banyak supporter yang mendoakan timnas kita tidak lolos dari fase grup Dampak dari besar kepalanya federasi dalam hal memilih pelatih,-0.9313,0.344,0.507,0.149,negative
berat berat kalau timnas seperti begini cari pelatihya harus lbh baik,-0.9001,0.16,0.64,0.2,negative
penggemar fomo menang pun di anggap kalah,-0.6124,0.278,0.5,0.222,negative
Ini koci tidak nyaranin pakai pelatih belanda lagi,-0.7906,0.211,0.526,0.263,negative
TERJUN BEBASSSSS,0.25,0.667,0.0,0.333,positive
Ganti pelatih sama Jurgen Klopp dan tambah lagi 23 naturalisasi grade A untuk posisi belakang Tengah depan,0.9432,0.576,0.121,0.303,positive
Kenapa reven dipasang diakhir laga,0.0,0.0,0.0,1.0,neutral
Timnas U23 tetap terbaik bagi kami,0.9325,0.812,0.0,0.188,positive
Yg di inginkan mafia bola,-0.7906,0.0,0.6,0.4,negative
Kebanyakan iklan,0.4588,0.75,0.0,0.25,positive
SDH ku zduga,0.0,0.0,0.0,1.0,neutral
Balik lagi ke setingan pabrik,-0.8402,0.0,0.727,0.273,negative
Lagian raven ferari dari awal saja,-0.875,0.176,0.706,0.118,negative
Tekanan publik sepertinya jadi beban merekaketika jaman sty publik saling dukung hingga hasil akhir juga bagus Sekarang publik terpecah padahal tim yang sekarang harusnya lbh bagus karena ada bule 4 tapi ternyata mlh melempem,-0.9001,0.301,0.425,0.274,negative
Kita kalah terhormat,-0.7184,0.0,0.714,0.286,negative
Gara2 keghoblhokan kesombongan dan keegoisan Erick Thohir Arya Sinulingga Towel dan Justinus Lhaksana memecat STY jadinya timnas Indonesia mendapatkan banyak karma buruk di sepanjang tahun 2025 padahal tahun lalu 2024 itu adalah puncak prestasi kita bahkan dihancurkan begitu saja,-0.875,0.138,0.293,0.569,negative
Sudah dibilang beknya kadek arel itu bosok striker Mauro itu bosok Strurige juga klemak kelemer tidak ada peningkatan,-0.4588,0.265,0.353,0.382,negative
Btw ini main tanpa skema iya,0.4588,0.375,0.0,0.625,positive
Selamat datang kembali di masa kegelapan timnas indonesia Bung towel dan kawan-kawan yang saat sty masih ada selalu datang mengkritik menghujat walau sudah menang tapi sekarang kemana itu orang Hebat mafia sepakbola indonesia initarget mereka timnassepakbola indonesia tidak boleh maju Jika ada kemungkinan makin bagus harus segera diturunkan lagi level nya Gw sudah lihat pola nya dari final aff 2010generasi evan dimas lalu terakhir sty yang susah payah membangun bahkan dipecat saat peluang masuk pildun sangat terbuka Begitulahtimnas merosot turun maka mafia akan bergembira,-0.9638,0.34,0.41,0.25,negative
Alhamdulillah tidak lolos,-0.7184,0.353,0.647,0.0,negative
Bosen kalau pas lihat berita Timnas akan lolos jikablsblabls tergantung pertandingan lainblsblabla,-0.7184,0.353,0.5,0.147,negative
Lebih seru liga 1 wel towel dan kawan kamu ini tim impianmu sty mah lewat,0.7184,0.423,0.192,0.385,positive
permainan memang kaya era kegelapan oper salah muludapet bola tendang oper lambung ke depancontrol ancurga kelihatan pola permainany gimanaemang dapat lawannya juga sama sama hancur,0.9517,0.51,0.176,0.314,positive
Satu kata untuk permainan timnas u23 MEMBOSANKAN,-0.4084,0.271,0.457,0.271,negative
IKLANNYA KURANG GEDE BANGG,-0.25,0.333,0.444,0.222,negative
Bukan masalah menang atau kalah Tpi makin mundur dari segi permainan Tapi iya begitulah Indonesia,-0.9517,0.205,0.59,0.205,negative
Penurunan yang sangat2 drastis terimakasih Sapriterimakasih Arya sang Penyepong dan sang aktor utama ERICK THOHIRsemoga keluargamu bangga Rik,0.4588,0.375,0.3,0.325,positive
Era dark system,0.0,0.0,0.0,1.0,neutral
Timnas balik ke setelan awal tertawa,0.7184,0.562,0.25,0.188,positive
STY walaupun belum bisa angkat piala tapi setidaknya bisa masuk kualifikasi AFC dan bersaing di kualifukasi Pildunkita coba lihat kedepannya apakah bisa masuk kualifikasi AFC,0.8402,0.395,0.186,0.419,positive
Ya sutra lahanak2 juga sudah main habis2an Tim2 besar juga banyak yang tidak lolos di fase2 awal,0.7184,0.49,0.347,0.163,positive
Kangen STY,0.6124,0.8,0.0,0.2,positive
namanya juga indra syaraf,0.0,0.0,0.0,1.0,neutral
Permainan ivar jenner sangat buruk saat di latih indra safri jadi egois gg bisa melihat ruang kosong dan salah ambil keputusan sangat berbeda ketika dia di latih STY,-0.9501,0.355,0.499,0.146,negative
Ini bukan sepak bola tapi lempar bola,-0.8402,0.0,0.615,0.385,negative
Dari bangun jatuhsemoga hasilnya nanti baik jugaAyo federasisuporter dukung terus perkembangan bola kita,0.7184,0.444,0.259,0.296,positive
Ga apa apa broooo taxkan SM Is,-0.8402,0.0,0.615,0.385,negative
Indra safri terlambat memasukan raven ferarri,0.0,0.0,0.0,1.0,neutral
Serius tanya Kenapa Ravens terlambat masuk yang lebih dulu masuk Malah Hokky Caraka,-0.9584,0.156,0.625,0.219,negative
Keren sih selamat atas tidak lolosnya timnas kita,-0.7184,0.273,0.5,0.227,negative
apa lagi alasan erik supaya ngak mundur dari pssi,-0.9682,0.0,0.833,0.167,negative
Kasian ivar jener,-0.6124,0.0,0.667,0.333,negative
Pa Erick Dua instasi pemerintah tidak boleh dipegang satu orang Sudah mentri Pegang ketua umum PSSI lagi,-0.7906,0.357,0.452,0.19,negative
Bek begitu masih dipake,0.0,0.0,0.0,1.0,neutral
Timnas telah kembali ke setelan pabrik,0.0,0.0,0.0,1.0,neutral
Respect Sang maha raha maestro lord indra kafir menunjukkan kelasnya,0.6249,0.424,0.209,0.366,positive
